
Verde,,
41,,
Agrupaciones,Centro,Claustro
Franja Morada,1670,1455,VerdeAmarillo
La Fuente,782,668,Azul
En Código Rojo,88,86
¡Ya basta!- Las Rojas. Nuevo Más e Independientes,24,24
Byte,133,115
En Blanco,134,125
TOTAL,2831,2473
