
Amarillo,,
,,
Agrupaciones,Centro,Claustro
Lista 1: Estudiantes al frente En Perspectiva (UJS-PO + Ind) + El bloque (PTS-Frente de Izquierda),79,78
Lista 3: Franja Morada,965,939,
Lista 6: Agite Estudiantil,515,495,
Lista 10: Fuera de Escala,344,333
Lista 17: Proyect.arq,36,37
Blancos,22,24
Nulos,20,23
TOTAL,1981,1929
