 
Amarillo,,
Agrupaciones,Centro,Claustro
Lista 3 – Franja Morada,52,51
Lista 4 – Contra Prensa – Juventud de PTS – Pan y Rosas en el Frente de Izquierda Unidad,54,55
Lista 8 – Miles en Perio,240,237
Lista 10 – Nueva Generación,435,434
Lista 17 – Rodolfo Walsh,1477,1468,
Lista 20 – Fandango,530,546,
Lista 31 – Agrupación Jorge Ricardo Masetti,126,123
Lista 69 – Copla,102,102
Blanco,,
Nulos/impugnados,,
TOTAL,,
