
Verde,,
32,,
Agrupaciones,Centro,Claustro
Colectivo Estudiantil – Lista 2,647,499,Azul
Franja Morada – Lista 3,1085,875,VerdeAmarillo
En Clave Roja – Lista 4,47,29,
Suma – Lista 17,613,517,Azul
Gradiente – Lista 22,91,64
Blancos,54,56
Nulos,23,19
TOTAL,2560,2059
