
Verde,,
,,
Agrupaciones,Centro,Claustro
Franja Morada,2754,2510,
La Izquierda al Frente,355,330
Psinapsis,79,76
Ya basta-Las Rojas-Nuevo Mas- Independientes,28,24
Beatriz Perosio,45,41
De Frente x Psico,2576,2362,
Blancos,30,28
Nulos,11,12
TOTAL,5880,5382
