
Amarillo,,
,,
Agrupaciones,Centro,Claustro
Lista 1 – Frente de izquierda,16,
Lista 2 – La Sampay,61,
Lista 3 – Franja Morada,999,,
Lista 4 – Ecos,145,
Lista 5 – Nuevo Derecho,16,
Lista 6 – DND,620,,
Lista 10 – Unidad x Derecho,40,
Lista 13 – La Revuelta (Izq. independiente),6,,
Lista 17 – Megafon,7,
En blanco,30,
Impugnados,,
Observados,,
TOTAL,,
