
Amarillo,,
,,
Agrupaciones,Centro,Claustro
Lista 1. AULE,1267,1095,
Lista 2. Ahora o Nunca – La Cámpora,101,76
Lista 3. Franja Morada,285,238
Lista 10. UNITE – Protagonismo estudiantil,886,770
Lista 13. ¡Ya Basta! – Juventud Anticapitalista – Las Rojas,11,10
Lista 14. Huma en Lucha. Unidad de la Izquierda,405,327
Lista 15. Megafón,54,40
Lista 17. La Jauretche,2599,2255,
Lista 26. Santiago Pampillón,60,43
Lista 69. Utopía,285,241
Lista 72. Uturuncos,54,37
Blancos ,11,95
Nulos	,53,50
TOTAL,,
